"state_abbrev,""state"",""municipality"",""geocode"",""period"",""zone"",""disease"",""cases"",""inc"""
"AC,""Acre"",""Mâncio Lima"",1200336,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Manoel Urbano"",1200344,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Marechal Thaumaturgo"",1200351,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Plácido de Castro"",1200385,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Porto Acre"",1200807,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Porto Walter"",1200393,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Rio Branco"",1200401,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Rodrigues Alves"",1200427,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Santa Rosa do Purus"",1200435,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Sena Madureira"",1200500,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Senador Guiomard"",1200450,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Tarauacá"",1200609,""2004-2008"",""rural"",""chagas"",0,0"
"AC,""Acre"",""Xapuri"",1200708,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Alvarães"",1300029,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Amaturá"",1300060,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Anamã"",1300086,""2004-2008"",""rural"",""chagas"",1,4.86705886501369"
"AM,""Amazonas"",""Anori"",1300102,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Apuí"",1300144,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Atalaia do Norte"",1300201,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Autazes"",1300300,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Barcelos"",1300409,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Barreirinha"",1300508,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Benjamin Constant"",1300607,""2004-2008"",""rural"",""chagas"",0,0"
