"state_abbrev,""state"",""municipality"",""geocode"",""period"",""refor"",""secveg"",""pasture"",""crop"",""urban"",""core"",""edge"",""port"",""river"",""road"",""mining"",""fire"",""dgorg"",""dgfor"",""defor"",""deorg"",""precp"",""precn"",""tempp"""
"AC,""Acre"",""Santa Rosa do Purus"",""1200435"",2006,""0.989033906077736"",0.004425873753141,0.002312875961319,0,0,0.923132566816417,""20.9992213049965"",""NA"",""NA"",0,0,0.000223363859727,""NA"",""NA"",""0.004258180188256"",""0.004232703201579"",0.077975386211401,0,0.258956566625444"
"AC,""Acre"",""Marechal Thaumaturgo"",""1200351"",2006,""0.977708722430138"",0.011579066063399,0.002642817878134,0,0.000261760175198,0.923069333446094,""21.3531767280434"",""NA"",""NA"",0,0,0.000909166046781,""NA"",""NA"",""0.005651408661502"",""0.005555359391735"",0.066788190350635,0,0.096017663956744"
"AC,""Acre"",""Porto Walter"",""1200393"",2006,""0.977620674952782"",0.010829517813707,0.003532336528831,0,0.000329017141312,0.920848833881814,""19.3953651742295"",""NA"",""NA"",0,0,0.001049134464067,""NA"",""NA"",""0.005988389856401"",""0.005889069166516"",0.140669998110559,0,0.214041745035913"
"AC,""Acre"",""Jordão"",""1200328"",2006,""0.978644303469656"",0.012035436473639,0.001696197061366,0,0,0.917512964563526,""19.9036080713907"",""NA"",""NA"",0,0,4.2231513155e-05,""NA"",""NA"",""0.006462793804383"",""0.006368520297435"",0.087293635242076,0,0.145607197245892"
"AC,""Acre"",""Feijó"",""1200302"",2006,""0.955872316379391"",0.021945594556544,0.013581605045844,0,0.000317682539989,0.889679352674626,""47.2582986097633"",""NA"",""NA"",0.763523157303538,0,0.002602345363759,""NA"",""NA"",""0.007878535091566"",""0.007594580012852"",0.030717197713516,0,0.049278323791507"
"AC,""Acre"",""Manoel Urbano"",""1200344"",2006,""0.977173324719769"",0.005141218732492,0.012616858363818,0,0.000215407243741,0.90980896197915,""27.6245073838244"",""NA"",""NA"",0.61815576780244,0,0.00193253312147,""NA"",""NA"",""0.009629215644956"",""0.009505462701686"",0.103676218860629,0,0.18137407166808"
"AC,""Acre"",""Tarauacá"",""1200609"",2006,""0.936033164444541"",0.02590459226913,0.02661706192453,0,0.000337692507653,0.881006076102101,""38.2203125528753"",""NA"",""NA"",1.16319616117254,0,0.006840314047916,""NA"",""NA"",""0.011201502189861"",""0.010610619134121"",0.123029320716036,0,0.208258781522114"
"AC,""Acre"",""Mâncio Lima"",""1200336"",2006,""0.931452851478941"",0.034543023488414,0.022435593737827,0,0.001555319337033,0.852341998041755,""29.6265738411652"",""NA"",""NA"",0.877398800638765,0,0.0047354333951,""NA"",""NA"",""0.013354639881292"",""0.012606626560115"",0.143965792938954,0,0.356381934733033"
"AC,""Acre"",""Cruzeiro do Sul"",""1200203"",2006,""0.895695892540361"",0.042378996811735,0.044084653030164,0,0.002511092627044,0.817147093168191,""39.5597767464949"",""NA"",""NA"",1.57391351549721,0,0.015132085150038,""NA"",""NA"",""0.015687591450982"",""0.014304618379466"",0.015955568822508,0,0.015955568822508"
"AC,""Acre"",""Sena Madureira"",""1200500"",2006,""0.936830905983716"",0.013798321233002,0.038903429002351,0,0.000247366448925,0.883632268208411,""41.0589531707361"",""NA"",""NA"",1.39944494580235,0,0.00978096421998,""NA"",""NA"",""0.019159174747161"",""0.018321188375017"",0.070279552474096,0,0.115734253583146"
"AC,""Acre"",""Assis Brasil"",""1200054"",2006,""0.952932192044366"",0.015090259496051,0.022553121474238,0,0.000262513203052,0.888151090635577,""23.9942312924906"",""NA"",""NA"",0.45111046824415,0,0.007538496897265,""NA"",""NA"",""0.027474379051282"",""0.026927784577723"",0.070593429534342,0,0.078592325326902"
"AC,""Acre"",""Rodrigues Alves"",""1200427"",2006,""0.857978637516838"",0.058562091503268,0.053986928104575,0,0.00079482527821,0.758394024276377,""34.3416435703522"",""NA"",""NA"",1.47195202951389,0,0.018982258888808,""NA"",""NA"",""0.033956936110131"",""0.030152013790942"",0.154291010270822,0,0.231436515406233"
"AC,""Acre"",""Xapuri"",""1200708"",2006,""0.774912181354319"",0.040514236069107,0.175935599520516,0,0.000618134828747,0.615213733490229,""55.3141083747493"",""NA"",""NA"",2.44735618358813,0,0.085276654332674,""NA"",""NA"",""0.054031348794022"",""0.044354106928968"",0.075061180522088,0,0.075061180522088"
"AC,""Acre"",""Rio Branco"",""1200401"",2006,""0.730344531752686"",0.031352718078382,0.229522922350123,9.9807039723e-05,0.009404780805102,0.600785148712489,""63.5007843270105"",""NA"",""NA"",3.40288937890514,0,0.053897978825794,""NA"",""NA"",""0.068904421099625"",""0.054198490035993"",0.072948552910563,0,0.073091309374185"
"AC,""Acre"",""Brasiléia"",""1200104"",2006,""0.693141199584172"",0.056042425059548,0.225203361646668,0,0.000994602909056,0.517519811843662,""66.3196442128452"",""NA"",""NA"",4.22336912275986,0,0.057835274834631,""NA"",""NA"",""0.076099413864239"",""0.05737988247494"",0.059971783033531,0,0.059971783033531"
"AC,""Acre"",""Epitaciolândia"",""1200252"",2006,""0.52549049903615"",0.088100074842297,0.375886524822695,0.000106917566556,0.002514976948708,0.324067144231797,""58.0439679817683"",""NA"",""NA"",2.39296798607102,0,0.100945494994438,""NA"",""NA"",""0.105633802816901"",""0.061961524843621"",1.69573465368103,0,3.62743418812912"
