"state_abbrev,""state"",""municipality"",""geocode"",""year"",""sit"",""carpond"",""h"",""a"",""ipm"",""csaude"",""ceduca"",""ccv"",""cnv"",""totpescar"",""totpesres"""
"RO,""Rondônia"",""Cujubim"",1100940,2000,""rural"",0.421663313,0.950530035,0.463949372,0.440997813,0.127201099,0.288789896,0.233655112,0.350353893,538,566"
"RO,""Rondônia"",""Governador Jorge Teixeira"",1101005,2000,""rural"",0.400136646,0.872355683,0.454858787,0.396798648,0.112273613,0.323040779,0.237262318,0.32742329,2433,2789"
"RO,""Rondônia"",""Itapuã do Oeste"",1101104,2000,""rural"",0.352437306,0.770655271,0.436836546,0.336650387,0.114247718,0.302544883,0.269449314,0.313758085,541,702"
"RO,""Rondônia"",""Ministro Andreazza"",1101203,2000,""rural"",0.354446779,0.794710327,0.424354137,0.337238615,0.113904804,0.373043419,0.217895177,0.295156601,1893,2382"
"RO,""Rondônia"",""Mirante da Serra"",1101302,2000,""rural"",0.385161452,0.827708703,0.457960352,0.379057769,0.170251696,0.311997947,0.209579168,0.308171189,1398,1689"
"RO,""Rondônia"",""Monte Negro"",1101401,2000,""rural"",0.357993668,0.818737271,0.426091763,0.348857208,0.090976907,0.340393098,0.252983913,0.315646082,1206,1473"
"RO,""Rondônia"",""Nova União"",1101435,2000,""rural"",0.379350517,0.85302391,0.42766066,0.364804769,0.113252492,0.304416273,0.244405074,0.33792616,1213,1422"
"RO,""Rondônia"",""Parecis"",1101450,2000,""rural"",0.388424313,0.904862579,0.431937027,0.390843652,0.125764698,0.310129435,0.238199498,0.325906369,428,473"
"RO,""Rondônia"",""Pimenteiras do Oeste"",1101468,2000,""rural"",0.325440917,0.75,0.38957672,0.29218254,0.213907375,0.266195844,0.23088415,0.289012631,135,180"
"RO,""Rondônia"",""Primavera de Rondônia"",1101476,2000,""rural"",0.370604396,0.880398671,0.422798742,0.372231451,0.156191893,0.307177389,0.215321681,0.321309037,530,602"
"RO,""Rondônia"",""São Felipe D'Oeste"",1101484,2000,""rural"",0.354707792,0.766489765,0.424424191,0.325316798,0.17711784,0.318112963,0.214738735,0.290030463,1011,1319"
"RO,""Rondônia"",""São Francisco do Guaporé"",1101492,2000,""rural"",0.432835821,0.925729443,0.48330377,0.44740853,0.119560717,0.297090266,0.258460062,0.324888956,1047,1131"
"RO,""Rondônia"",""Seringueiras"",1101500,2000,""rural"",0.428675214,0.972045743,0.454666978,0.441957101,0.083017021,0.300921727,0.254595799,0.361465453,1530,1574"
"RO,""Rondônia"",""Teixeirópolis"",1101559,2000,""rural"",0.34608091,0.816684962,0.404905914,0.330680571,0.141078838,0.312863071,0.2406639,0.305394191,744,911"
"RO,""Rondônia"",""Theobroma"",1101609,2000,""rural"",0.395387782,0.857502096,0.460343062,0.39474514,0.159524448,0.303211471,0.222090489,0.315173592,2046,2386"
"RO,""Rondônia"",""Urupá"",1101708,2000,""rural"",0.425174101,0.930871212,0.468744853,0.436341089,0.117193555,0.294792431,0.250974029,0.337039984,983,1056"
"RO,""Rondônia"",""Vale do Anari"",1101757,2000,""rural"",0.452211435,0.97082658,0.48540027,0.471239484,0.122096023,0.286610382,0.250026614,0.341266982,1198,1234"
"RO,""Rondônia"",""Vale do Paraíso"",1101807,2000,""rural"",0.368960723,0.850445104,0.422297544,0.359140879,0.147070395,0.305570419,0.240907446,0.30645174,1433,1685"
"AC,""Acre"",""Acrelândia"",1200013,2000,""rural"",0.449376417,0.943377149,0.503166947,0.4746762,0.15922727,0.282419828,0.248844911,0.309507991,933,989"
"AC,""Acre"",""Assis Brasil"",1200054,2000,""rural"",0.453926483,0.977272727,0.492679956,0.481482684,0.129807368,0.281642653,0.242082312,0.346467666,215,220"
"AC,""Acre"",""Brasiléia"",1200104,2000,""rural"",0.499104599,0.984732824,0.528819888,0.520746302,0.13700469,0.288010546,0.218434286,0.356550478,1677,1703"
"AC,""Acre"",""Bujari"",1200138,2000,""rural"",0.439071429,0.940229885,0.504954011,0.474772852,0.139812776,0.286081553,0.231292007,0.342813664,818,870"
"AC,""Acre"",""Capixaba"",1200179,2000,""rural"",0.444041253,0.977647059,0.473906939,0.463313725,0.12886707,0.300055017,0.231071988,0.340005925,831,850"
"AC,""Acre"",""Cruzeiro do Sul"",1200203,2000,""rural"",0.396826744,0.828907436,0.486475973,0.403243551,0.164165765,0.307164025,0.242955925,0.285714286,2185,2636"
"AC,""Acre"",""Epitaciolândia"",1200252,2000,""rural"",0.406523534,0.886515354,0.463608003,0.410995613,0.112072766,0.306981924,0.259994895,0.320950414,664,749"
"AC,""Acre"",""Feijó"",1200302,2000,""rural"",0.488338364,0.99240369,0.515639564,0.511722605,0.042943267,0.342839254,0.260916325,0.353301153,1829,1843"
"AC,""Acre"",""Jordão"",1200328,2000,""rural"",0.443984962,1,0.461345151,0.461345151,0.005537599,0.33937572,0.290554438,0.364532242,685,685"
"AC,""Acre"",""Mâncio Lima"",1200336,2000,""rural"",0.47623357,0.945531915,0.523087309,0.494595745,0.138088273,0.28822163,0.258969285,0.314720812,1111,1175"
"AC,""Acre"",""Manoel Urbano"",1200344,2000,""rural"",0.524483378,1,0.560588531,0.560588531,0.159383552,0.257526134,0.224438064,0.35865225,568,568"
"AC,""Acre"",""Marechal Thaumaturgo"",1200351,2000,""rural"",0.421284271,0.983621474,0.449537465,0.442174704,0.020578249,0.334910999,0.268031691,0.376479062,1081,1099"
"AC,""Acre"",""Plácido de Castro"",1200385,2000,""rural"",0.385042735,0.838150289,0.452541507,0.379297795,0.10244398,0.2932212,0.260343173,0.343991646,1305,1557"
"AC,""Acre"",""Porto Walter"",1200393,2000,""rural"",0.506967082,0.959156785,0.560312009,0.537427066,0.119512494,0.301539216,0.249093806,0.329854484,728,759"
"AC,""Acre"",""Rio Branco"",1200401,2000,""rural"",0.342022847,0.754465736,0.446471107,0.336847152,0.137636477,0.323883619,0.250479794,0.28800011,2323,3079"
"AC,""Acre"",""Rodrigues Alves"",1200427,2000,""rural"",0.469279907,0.949117342,0.514639992,0.488453741,0.111611662,0.285229804,0.26088277,0.342275764,914,963"
